6.2	elwynn	OBJ	guid4093666948	entry22772	lvl0	(-9456,21)	d24	hp0	mv0	tgt1101729104	?	>	dd0
6.2	elwynn	OBJ	guid1610639533	entry96	lvl0	(-9501,66)	d46	hp0	mv0	tgt1115956222	?	>	dd0
6.2	elwynn	OBJ	guid1593862316	entry95	lvl0	(-9501,66)	d46	hp0	mv0	tgt1115957350	?	>	dd0
6.2	elwynn	OBJ	guid3158120149	entry1000380	lvl0	(-9479,49)	d19	hp0	mv0	tgt1111831033	?	>	dd0
6.2	elwynn	OBJ	guid507318340	entry1000222	lvl0	(-9478,45)	d18	hp0	mv0	tgt1110677914	?	>	dd0
6.2	elwynn	OBJ	guid708644931	entry1000234	lvl0	(-9480,48)	d20	hp0	mv0	tgt1111371284	?	>	dd0
6.2	elwynn	OBJ	guid507320040	entry1000222	lvl0	(-9436,36)	d25	hp0	mv0	tgt1108423475	?	>	dd0
6.2	elwynn	OBJ	guid456988391	entry1000219	lvl0	(-9435,34)	d27	hp0	mv0	tgt1107899187	?	>	dd0
6.2	elwynn	OBJ	guid2805798448	entry61095	lvl0	(-9452,47)	d8	hp0	mv0	tgt1111200026	?	>	dd0
6.2	elwynn	OBJ	guid2168261799	entry1000065	lvl0	(-9464,46)	d4	hp0	mv0	tgt1110847914	?	>	dd0
6.2	elwynn	OBJ	guid2352811149	entry181388	lvl0	(-9451,47)	d9	hp0	mv0	tgt1111306378	?	>	dd0
6.2	elwynn	OBJ	guid2268925068	entry2695	lvl0	(-9448,44)	d12	hp0	mv0	tgt1110446807	?	>	dd0
6.2	elwynn	OBJ	guid2403142789	entry181391	lvl0	(-9451,48)	d9	hp0	mv0	tgt1111433229	?	>	dd0
6.2	elwynn	OBJ	guid2503806076	entry180885	lvl0	(-9451,48)	d9	hp0	mv0	tgt1111438131	?	>	dd0
6.2	elwynn	OBJ	guid524094587	entry184863	lvl0	(-9448,43)	d12	hp0	mv0	tgt1110111263	?	>	dd0
6.2	elwynn	OBJ	guid960302201	entry149049	lvl0	(-9448,45)	d12	hp0	mv0	tgt1110653534	?	>	dd0
6.2	elwynn	OBJ	guid2369588343	entry38029	lvl0	(-9450,44)	d10	hp0	mv0	tgt1110566004	?	>	dd0
6.2	elwynn	OBJ	guid1610639528	entry177504	lvl0	(-9459,37)	d8	hp0	mv0	tgt1108538216	?	>	dd0
